GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|OWNRAGE|OWNRAGE_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2355||100||145||100||2210||100||17||0||23||0||17||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|81||0|X|0||0|X|81||0|X|91||0|X|0||0|X|91||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|3109||0|X|131||0|X|2978||0|X|11||0|X|29||0|X|12||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|59||2.1||1||.8||58||2.2||46||.8||0||0||47||.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|191||6.8||25||19||166||6.2||29||1.3||116||5.9||32||1.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|755||26.8||21||16||734||27.4||27||3.6||62||6.2||28||3.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|EC|45 to 54|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|921||32.7||37||28.5||884||32.9||15||3.6||38||5.2||15||4.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|ED|55 to 64|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|607||21.6||22||16.7||585||21.8||22||2.9||51||5||24||3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|282||10||25||19||257||9.6||21||1.6||71||6.6||26||1.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2816||100||131||100||2685||100||10||0||29||0||11||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|293||0|X|0||0|X|293||0|X|53||0|X|0||0|X|53||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1056||0|X|69||0|X|987||0|X|26||0|X|59||0|X|25||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|0||0||0||0||0||0||0||0||0||0||0||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|88||9.2||25||36.3||64||7.1||62||2.5||116||6.7||76||2.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|314||32.7||3||4.4||311||34.9||38||6.1||0||0||39||6.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|EC|45 to 54|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|271||28.3||23||33.4||248||27.9||36||4.8||64||6.8||39||5.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|ED|55 to 64|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|201||21||1||1.5||200||22.5||42||5.5||0||0||42||6.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|85||8.9||17||24.5||68||7.6||49||4||81||8.4||59||4.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|960||100||69||100||891||100||27||0||59||0||26||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|96||0|X|0||0|X|96||0|X|49||0|X|0||0|X|49||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2053||0|X|62||0|X|1991||0|X|17||0|X|26||0|X|17||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|59||3.2||1||1.6||58||3.2||46||1||0||0||47||1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|102||5.5||0||0||102||5.7||43||1.7||0||0||43||1.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|442||23.8||18||28.7||424||23.6||30||3.4||73||7.8||31||3.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|EC|45 to 54|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|650||35||15||23.2||636||35.4||17||4.6||15||3.1||17||5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|ED|55 to 64|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|406||21.9||21||33.5||385||21.5||34||4.3||53||6.3||36||4.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|197||10.6||8||13||189||10.6||34||2.3||70||7.2||37||2.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1856||100||62||100||1793||100||13||0||26||0||14||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|197||0|X|0||0|X|197||0|X|68||0|X|0||0|X|68||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|365||0|X|11||0|X|354||0|X|43||0|X|70||0|X|44||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|15||5.4||0||0||15||5.6||136||6||0||0||136||6.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|88||30.7||1||9.1||87||31.6||77||11||0||0||78||11.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|105||36.7||7||63.4||98||35.6||62||10||110||11.2||62||10.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|EC|45 to 54|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|48||16.8||0||0||48||17.4||113||7.3||0||0||113||7.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|ED|55 to 64|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|23||8||2||18.3||21||7.6||40||2.4||0||0||43||2.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|7||2.5||1||9.1||6||2.2||49||1.3||0||0||58||1.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|286||100||11||100||275||100||39||0||70||0||40||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|80||0|X|0||0|X|80||0|X|138||0|X|0||0|X|138||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|158||0|X|9||0|X|149||0|X|79||0|X|85||0|X|84||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|0||0||0||0||0||0||0||0||0||0||0||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|36||30.3||1||11.2||35||31.9||135||7||0||0||139||10.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|67||56.9||7||77.6||60||55.2||80||11.3||110||11.9||91||15.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|EC|45 to 54|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1||.8||0||0||1||.9||0||0||0||0||0||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|ED|55 to 64|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|10||8.6||1||11.2||9||8.4||38||7.8||0||0||42||10.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|4||3.4||0||0||4||3.6||86||2.9||0||0||86||6.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|119||100||9||100||110||100||85||0||85||0||93||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|40||0|X|0||0|X|40||0|X|138||0|X|0||0|X|138||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|207||0|X|2||0|X|205||0|X|34||0|X|0||0|X|34||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|15||9.1||0||0||15||9.3||136||6.4||0||0||136||6.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|52||31||0||0||52||31.4||71||12.1||0||0||71||12.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|37||22.4||0||0||37||22.6||102||9.6||0||0||102||9.8|
