GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|HRSWRKD|HRSWRKD_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|80||0|X|0||0|X|80||0|X|138||0|X|0||0|X|138||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|158||0|X|9||0|X|149||0|X|79||0|X|85||0|X|84||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|24||20||1||11.2||23||20.7||114||6.3||0||0||119||10.7|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|13||11.3||0||0||13||12.2||58||8.9||0||0||58||14.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|5||3.9||2||22.4||3||2.4||63||3.7||0||0||111||.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|CZ|40 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|76||64||6||66.4||70||63.8||127||19||129||19.3||139||20.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|DA|41 to 59 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|0||0||0||0||0||0||0||0||0||0||0||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1||.8||0||0||1||.9||0||0||0||0||0||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|119||100||9||100||110||100||85||0||85||0||93||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|01|Female|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|40||0|X|0||0|X|40||0|X|138||0|X|0||0|X|138||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|207||0|X|2||0|X|205||0|X|34||0|X|0||0|X|34||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|7||4.3||0||0||7||4.4||80||2.9||0||0||80||3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|73||43.9||2||100||71||43.2||56||10.8||0||0||58||11.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|02|Male|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|24||14.2||0||0||24||14.4||114||6.2||0||0||114||6.4|
