GEOTYPE|GEOTYPE_MEANING|ST|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2002|NAICS2002_MEANING|OWNER_SEX_GROUP|OWNER_SEX_GROUP_MEANING|OWNERINT|OWNERINT_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT|OWNALL_PCT_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD|OWNNOPD_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|00|All sectors|00|Total for all sectors|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|25.4||0||0|X|0|X|25.4||.1||0|X|0|X|25.4||0|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|00|All sectors|00|Total for all sectors|1200|Male owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|9.2||0||0|X|0|X|22.5||.1||0|X|0|X|3.4||0|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1000|All owners of respondent firms|2000|All interest owners of respondent firms|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|224916||1||0|X|0|X|31120||2||0|X|0|X|193796||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1000|All owners of respondent firms|2001|Majority interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|61||.3||0|X|0|X|43.4||1||0|X|0|X|63.8||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1000|All owners of respondent firms|2002|Equal interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|33.5||.4||0|X|0|X|34.2||1.1||0|X|0|X|33.3||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1000|All owners of respondent firms|2003|Nonmajority interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|5.5||.2||0|X|0|X|22.4||1.4||0|X|0|X|2.8||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|52115||2||0|X|0|X|7620||4||0|X|0|X|44495||2||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1100|Female owners of respondent firms|2001|Majority interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|32.2||.7||0|X|0|X|21.6||1.5||0|X|0|X|34||.8|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1100|Female owners of respondent firms|2002|Equal interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|59.4||.9||0|X|0|X|52||1.8||0|X|0|X|60.7||1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1100|Female owners of respondent firms|2003|Nonmajority interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|8.4||.4||0|X|0|X|26.4||2.1||0|X|0|X|5.3||.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|172790||1||0|X|0|X|23500||2||0|X|0|X|149290||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1200|Male owners of respondent firms|2001|Majority interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|69.7||.3||0|X|0|X|50.5||1.2||0|X|0|X|72.7||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1200|Male owners of respondent firms|2002|Equal interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|25.6||.3||0|X|0|X|28.4||1||0|X|0|X|25.2||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|11|Forestry, fishing & huntings, and agricultural support services (NAICS 113-115)|11|Forestry, fishing & hunting, & ag support services (113-115)|1200|Male owners of respondent firms|2003|Nonmajority interest owners|203|Data do not include crop and animal production (NAICS 111, 112).|2002|Reference year 2002|0|X|0|X|4.7||.2||0|X|0|X|21||1.4||0|X|0|X|2.1||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1000|All owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|108250||1||0|X|0|X|23047||4||0|X|0|X|85204||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1000|All owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|50.9||.8||0|X|0|X|37.9||.7||0|X|0|X|54.4||.9|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1000|All owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|36.7||.8||0|X|0|X|25.9||1||0|X|0|X|39.7||1.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1000|All owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|12.4||.5||0|X|0|X|36.2||.9||0|X|0|X|6||.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|28615||2||0|X|0|X|4789||5||0|X|0|X|23826||2||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1100|Female owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|35.1||1.1||0|X|0|X|20.4||1.5||0|X|0|X|38||1.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1100|Female owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|52||1.3||0|X|0|X|37||1.8||0|X|0|X|55||1.7|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1100|Female owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|13||.6||0|X|0|X|42.6||1.3||0|X|0|X|7||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|79636||1||0|X|0|X|18257||4||0|X|0|X|61378||2||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1200|Male owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|56.6||.8||0|X|0|X|42.5||.9||0|X|0|X|60.7||1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|31.3||.7||0|X|0|X|23||.9||0|X|0|X|33.7||1.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|21|Mining|21|Mining|1200|Male owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|12.2||.5||0|X|0|X|34.5||1||0|X|0|X|5.6||.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1000|All owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|13905||4||0|X|0|X|3028||3||0|X|0|X|10877||5||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1000|All owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|59.5||1||0|X|0|X|40.3||1.5||0|X|0|X|64.9||1.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1000|All owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|29.5||1.3||0|X|0|X|24.5||1.5||0|X|0|X|30.9||1.6|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1000|All owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|11||.5||0|X|0|X|35.2||1.4||0|X|0|X|4.2||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|3237||7||0|X|0|X|657||6||0|X|0|X|2580||9||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1100|Female owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|40.3||2||0|X|0|X|25.7||2.9||0|X|0|X|44||2.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1100|Female owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|48.5||1.6||0|X|0|X|35.3||2.4||0|X|0|X|51.9||2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1100|Female owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|11.2||1.1||0|X|0|X|39||1.6||0|X|0|X|4.1||.7|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|10668||4||0|X|0|X|2371||3||0|X|0|X|8297||4||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1200|Male owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|65.4||.9||0|X|0|X|44.4||1.6||0|X|0|X|71.3||1.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|23.7||1.1||0|X|0|X|21.5||1.3||0|X|0|X|24.4||1.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|22|Utilities|22|Utilities|1200|Male owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|10.9||.6||0|X|0|X|34.1||1.6||0|X|0|X|4.3||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1000|All owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|2379137||0||0|X|0|X|761504||0||0|X|0|X|1617633||0||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1000|All owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|67.2||.2||0|X|0|X|51.4||.2||0|X|0|X|74.7||.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1000|All owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|24.8||.2||0|X|0|X|29.8||.2||0|X|0|X|22.5||.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1000|All owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|7.9||0||0|X|0|X|18.9||.1||0|X|0|X|2.8||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|393392||1||0|X|0|X|142418||1||0|X|0|X|250974||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1100|Female owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|32.8||.4||0|X|0|X|24||.4||0|X|0|X|37.7||.6|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1100|Female owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|52.2||.4||0|X|0|X|49.5||.3||0|X|0|X|53.8||.6|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1100|Female owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|15||.1||0|X|0|X|26.6||.3||0|X|0|X|8.5||.3|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|1985720||0||0|X|0|X|619086||0||0|X|0|X|1366634||0||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1200|Male owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|74.1||.1||0|X|0|X|57.7||.2||0|X|0|X|81.5||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|19.4||.1||0|X|0|X|25.2||.2||0|X|0|X|16.8||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|23|Construction|23|Construction|1200|Male owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|6.5||0||0|X|0|X|17.1||.1||0|X|0|X|1.7||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1000|All owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|632164||1||0|X|0|X|372254||1||0|X|0|X|259910||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1000|All owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|49.4||.2||0|X|0|X|39.5||.3||0|X|0|X|63.5||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1000|All owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|28.9||.2||0|X|0|X|26.6||.1||0|X|0|X|32.1||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1000|All owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|21.8||.2||0|X|0|X|33.9||.3||0|X|0|X|4.3||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|179006||1||0|X|0|X|86484||1||0|X|0|X|92523||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1100|Female owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|42.7||.3||0|X|0|X|29||.5||0|X|0|X|55.6||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1100|Female owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|38.1||.3||0|X|0|X|36.3||.3||0|X|0|X|39.8||.6|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1100|Female owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|19.2||.3||0|X|0|X|34.7||.4||0|X|0|X|4.6||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|453154||1||0|X|0|X|285770||1||0|X|0|X|167384||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1200|Male owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|52||.2||0|X|0|X|42.6||.3||0|X|0|X|67.9||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|25.2||.2||0|X|0|X|23.7||.2||0|X|0|X|27.9||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|31|Manufacturing|31-33|Manufacturing|1200|Male owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|22.8||.2||0|X|0|X|33.7||.3||0|X|0|X|4.2||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1000|All owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|688057||0||0|X|0|X|366918||1||0|X|0|X|321139||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1000|All owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|52.3||.2||0|X|0|X|42.3||.2||0|X|0|X|63.7||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1000|All owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|29.5||.2||0|X|0|X|27.4||.3||0|X|0|X|31.8||.5|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1000|All owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|18.2||.2||0|X|0|X|30.2||.2||0|X|0|X|4.4||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|186395||1||0|X|0|X|82478||1||0|X|0|X|103917||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1100|Female owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|43||.5||0|X|0|X|29.9||.5||0|X|0|X|53.4||.7|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1100|Female owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|40||.5||0|X|0|X|38.3||.5||0|X|0|X|41.3||.8|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1100|Female owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|17.1||.3||0|X|0|X|31.9||.5||0|X|0|X|5.3||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|501650||0||0|X|0|X|284440||1||0|X|0|X|217210||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1200|Male owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|55.8||.2||0|X|0|X|46||.3||0|X|0|X|68.6||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|25.6||.2||0|X|0|X|24.3||.3||0|X|0|X|27.3||.4|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|42|Wholesale trade|42|Wholesale trade|1200|Male owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|18.6||.2||0|X|0|X|29.7||.3||0|X|0|X|4||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1000|All owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|2495144||0||0|X|0|X|788874||0||0|X|0|X|1706271||0||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1000|All owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|58.3||.2||0|X|0|X|43.3||.2||0|X|0|X|65.3||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1000|All owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|33||.1||0|X|0|X|34.9||.2||0|X|0|X|32.1||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1000|All owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|8.7||.1||0|X|0|X|21.8||.2||0|X|0|X|2.6||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1100|Female owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|1133362||0||0|X|0|X|251338||0||0|X|0|X|882023||0||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1100|Female owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|60.6||.2||0|X|0|X|36.3||.2||0|X|0|X|67.5||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1100|Female owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|33.1||.2||0|X|0|X|43.3||.2||0|X|0|X|30.2||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1100|Female owners of respondent firms|2003|Nonmajority interest owners|||2002|Reference year 2002|0|X|0|X|6.3||.1||0|X|0|X|20.4||.3||0|X|0|X|2.3||.1|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1200|Male owners of respondent firms|2000|All interest owners of respondent firms|||2002|Reference year 2002|1361735||0||0|X|0|X|537534||0||0|X|0|X|824201||1||0|X|0|X
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1200|Male owners of respondent firms|2001|Majority interest owners|||2002|Reference year 2002|0|X|0|X|56.4||.2||0|X|0|X|46.6||.3||0|X|0|X|62.8||.2|
01|United States|00|01000US|United States|SB|2002 Survey of Business Owners|44|Retail trade|44-45|Retail trade|1200|Male owners of respondent firms|2002|Equal interest owners|||2002|Reference year 2002|0|X|0|X|32.9||.2||0|X|0|X|30.9||.2||0|X|0|X|34.1||.2|
